datetime,open,high,low,close,volume
2024-07-20 00:00:00+09:00,168.9384,169.1001,166.8379,168.8221,35.32
2024-07-20 01:00:00+09:00,168.8221,171.8735,168.8221,169.4471,111.44
2024-07-20 02:00:00+09:00,169.4471,170.6535,168.9318,170.5739,16.08
2024-07-20 03:00:00+09:00,170.5739,170.5739,168.3455,170.0567,93.25
2024-07-20 04:00:00+09:00,170.0567,171.0971,169.8395,170.5797,295.87
2024-07-20 05:00:00+09:00,170.5797,170.6232,169.119,169.3568,74.05
2024-07-20 06:00:00+09:00,169.3568,170.1343,168.156,168.156,15.0
2024-07-20 07:00:00+09:00,168.156,169.6188,168.156,168.9452,12.75
2024-07-20 08:00:00+09:00,168.9452,169.8433,168.7067,169.3533,8.2
2024-07-20 09:00:00+09:00,169.3533,169.9291,168.2816,169.6009,11.94
2024-07-20 10:00:00+09:00,169.6009,170.8975,169.6009,170.405,8.68
2024-07-20 11:00:00+09:00,170.405,171.875,169.5548,171.2687,27.21
2024-07-20 12:00:00+09:00,171.2687,171.6506,169.8539,169.8539,13.01
2024-07-20 13:00:00+09:00,169.8539,170.8332,169.486,170.622,49.8
2024-07-20 14:00:00+09:00,170.622,170.622,169.6111,170.2219,7.57
2024-07-20 15:00:00+09:00,170.2219,170.5341,169.4443,169.6528,16.4
2024-07-20 16:00:00+09:00,169.6528,169.7523,168.2549,168.8843,100.19
2024-07-20 17:00:00+09:00,168.8843,169.9701,168.643,168.9321,16.68
2024-07-20 18:00:00+09:00,168.9321,169.9657,168.5622,169.3823,16.43
2024-07-20 19:00:00+09:00,169.3823,169.8647,168.7762,168.9943,12.69
2024-07-20 20:00:00+09:00,168.9943,169.2676,168.0,168.2405,19.63
2024-07-20 21:00:00+09:00,168.2405,169.1572,168.2405,168.6571,13.52
2024-07-20 22:00:00+09:00,168.6571,168.9247,167.4395,168.4373,24.58
2024-07-20 23:00:00+09:00,168.4373,169.5789,168.194,169.3176,91.83
2024-07-21 00:00:00+09:00,169.3176,169.7294,168.6931,169.4175,34.24
2024-07-21 01:00:00+09:00,169.4175,170.4778,169.2334,169.6918,10.95
2024-07-21 02:00:00+09:00,169.6918,174.6692,169.4316,174.0769,61.43
2024-07-21 03:00:00+09:00,174.0769,174.3234,173.1092,173.5991,10.61
2024-07-21 04:00:00+09:00,173.5991,174.2653,172.2946,172.44,18.13
2024-07-21 05:00:00+09:00,172.44,174.103,172.44,173.6442,14.36
2024-07-21 06:00:00+09:00,173.6442,174.6173,172.8163,174.3814,19.54
2024-07-21 07:00:00+09:00,174.3814,175.163,173.0426,173.3989,35.25
2024-07-21 08:00:00+09:00,173.3989,174.2189,173.1525,173.5916,7.51
2024-07-21 09:00:00+09:00,173.5916,174.1313,172.9376,173.06,11.27
2024-07-21 10:00:00+09:00,173.06,174.5552,173.06,174.0936,7.54
2024-07-21 11:00:00+09:00,174.0936,175.3185,173.6656,173.7935,9.59
2024-07-21 12:00:00+09:00,173.7935,174.0332,173.2192,173.2692,10.01
2024-07-21 13:00:00+09:00,173.2692,173.6639,172.9823,173.0523,13.38
2024-07-21 14:00:00+09:00,173.0523,173.422,172.3135,173.1092,16.21
2024-07-21 15:00:00+09:00,173.1092,173.3957,171.2175,171.4345,32.83
2024-07-21 16:00:00+09:00,171.4345,172.0732,171.1213,171.4441,18.68
2024-07-21 17:00:00+09:00,171.4441,172.1191,171.1066,171.7048,21.26
2024-07-21 18:00:00+09:00,171.7048,172.7115,171.3741,172.7071,12.49
2024-07-21 19:00:00+09:00,172.7071,173.1573,172.4545,172.4545,8.18
2024-07-21 20:00:00+09:00,172.4545,173.1242,171.9443,172.982,11.4
2024-07-21 21:00:00+09:00,172.982,173.4223,172.5061,172.7929,12.64
2024-07-21 22:00:00+09:00,172.7929,173.3918,171.3659,172.4363,52.6
2024-07-21 23:00:00+09:00,172.4363,174.5753,171.2,174.2194,49.15
2024-07-22 00:00:00+09:00,174.2194,176.7284,173.6753,175.4722,32.08
2024-07-22 01:00:00+09:00,175.4722,177.1575,174.5946,177.02,29.03
2024-07-22 02:00:00+09:00,177.02,177.3172,172.8,173.8075,31.91
2024-07-22 03:00:00+09:00,173.8075,177.8814,171.0078,175.2467,124.62
2024-07-22 04:00:00+09:00,175.2467,178.6234,174.4012,178.171,63.54
2024-07-22 05:00:00+09:00,178.171,184.8162,177.7868,182.4868,94.07
2024-07-22 06:00:00+09:00,182.4868,185.0086,181.7792,184.2324,36.55
2024-07-22 07:00:00+09:00,184.2324,184.4373,182.9763,183.9653,19.74
2024-07-22 08:00:00+09:00,183.9653,185.3209,183.5446,184.6619,42.24
2024-07-22 09:00:00+09:00,184.6619,184.9826,182.9672,183.1689,17.02
2024-07-22 10:00:00+09:00,183.1689,183.6458,181.552,181.5598,15.13
2024-07-22 11:00:00+09:00,181.5598,183.3473,181.3515,183.0116,27.07
2024-07-22 12:00:00+09:00,183.0116,183.0116,180.8115,181.0689,9.64
2024-07-22 13:00:00+09:00,181.0689,181.8506,180.8,181.423,14.32
2024-07-22 14:00:00+09:00,181.423,181.7887,178.4169,179.4689,32.93
2024-07-22 15:00:00+09:00,179.4689,180.2485,178.5237,179.6543,25.91
2024-07-22 16:00:00+09:00,179.6543,179.6543,177.8198,178.5916,16.6
2024-07-22 17:00:00+09:00,178.5916,179.3937,177.0188,177.4324,19.47
2024-07-22 18:00:00+09:00,177.4324,178.8766,176.8947,178.8753,11.79
