datetime,open,high,low,close,volume
2025-01-20 00:00:00+09:00,268.7976,271.9538,265.7205,265.844,134.96
2025-01-20 00:15:00+09:00,265.844,269.066,263.0,269.066,198.82
2025-01-20 00:30:00+09:00,269.066,271.3729,268.765,269.6828,124.56
2025-01-20 00:45:00+09:00,269.6828,271.2827,269.1801,271.2524,8.27
2025-01-20 01:00:00+09:00,271.2524,271.2524,267.8202,268.5413,88.39
2025-01-20 01:15:00+09:00,268.5413,268.7714,266.3677,266.4803,37.69
2025-01-20 01:30:00+09:00,266.4803,267.627,264.4995,267.627,51.98
2025-01-20 01:45:00+09:00,267.627,269.2796,266.8,268.1,20.25
2025-01-20 02:00:00+09:00,268.1,268.1004,263.2533,263.2533,108.94
2025-01-20 02:15:00+09:00,263.2533,268.7223,263.2533,268.6422,236.48
2025-01-20 02:30:00+09:00,268.6422,269.721,266.9819,269.5306,197.97
2025-01-20 02:45:00+09:00,269.5306,271.3741,267.6014,271.0004,35.2
2025-01-20 03:00:00+09:00,271.0004,272.6281,270.2714,271.6414,91.22
2025-01-20 03:15:00+09:00,271.6414,274.5589,271.6002,274.2007,219.62
2025-01-20 03:30:00+09:00,274.2007,274.46,271.7158,272.8904,39.4
2025-01-20 03:45:00+09:00,272.8904,273.9999,271.7158,271.8399,320.31
2025-01-20 04:00:00+09:00,271.8399,271.8409,270.2006,270.4422,45.44
2025-01-20 04:15:00+09:00,270.4422,272.4864,270.3213,271.7787,49.54
2025-01-20 04:30:00+09:00,271.7787,271.7787,267.5529,267.8427,257.04
2025-01-20 04:45:00+09:00,267.8427,269.8461,267.6639,268.5681,93.12
2025-01-20 05:00:00+09:00,268.5681,273.6,268.5681,271.9096,53.03
2025-01-20 05:15:00+09:00,271.9096,276.8822,271.9096,275.8602,314.99
2025-01-20 05:30:00+09:00,275.8602,276.6942,272.8678,274.4999,151.11
2025-01-20 05:45:00+09:00,274.4999,278.0246,272.6615,278.0244,83.13
2025-01-20 06:00:00+09:00,278.0244,278.0252,271.5062,271.6311,208.93
2025-01-20 06:15:00+09:00,271.6311,278.1669,262.248,263.285,1116.49
2025-01-20 06:30:00+09:00,263.285,271.5659,261.429,266.9058,1270.43
2025-01-20 06:45:00+09:00,266.9058,269.3601,252.6398,254.8,1140.52
2025-01-20 07:00:00+09:00,254.8,257.2262,244.0175,254.6639,884.98
2025-01-20 07:15:00+09:00,254.6639,259.581,252.217,256.7646,729.86
2025-01-20 07:30:00+09:00,256.7646,258.5878,243.3105,247.3126,642.89
2025-01-20 07:45:00+09:00,247.3126,252.8527,240.0,251.6252,770.17
2025-01-20 08:00:00+09:00,251.6252,252.939,244.0674,245.6508,475.39
2025-01-20 08:15:00+09:00,245.6508,248.9207,235.0,241.8296,1245.21
2025-01-20 08:30:00+09:00,241.8296,247.2891,237.061,246.8182,512.83
2025-01-20 08:45:00+09:00,246.8182,253.1992,245.3456,251.0569,315.64
2025-01-20 09:00:00+09:00,251.0569,252.2222,246.0292,248.6962,61.42
2025-01-20 09:15:00+09:00,248.6962,251.1607,245.2621,246.5911,152.0
2025-01-20 09:30:00+09:00,246.5911,250.244,241.8412,244.038,1112.24
2025-01-20 09:45:00+09:00,244.038,244.038,235.1587,235.4375,230.43
2025-01-20 10:00:00+09:00,235.4375,243.1694,235.4375,242.1921,53.25
2025-01-20 10:15:00+09:00,242.1921,244.4067,238.3524,244.4067,37.09
2025-01-20 10:30:00+09:00,244.4067,246.574,240.5302,240.5302,69.45
2025-01-20 10:45:00+09:00,240.5302,246.3588,240.5302,241.5606,104.52
2025-01-20 11:00:00+09:00,241.5606,247.9761,241.5606,245.5322,222.51
2025-01-20 11:15:00+09:00,245.5322,246.6579,241.4601,241.4601,161.42
2025-01-20 11:30:00+09:00,241.4601,242.4526,237.2928,238.0593,298.53
2025-01-20 11:45:00+09:00,238.0593,238.0593,230.0079,232.0758,141.94
2025-01-20 12:00:00+09:00,232.0758,237.8969,230.0,237.8969,22.72
2025-01-20 12:15:00+09:00,237.8969,240.2686,236.4596,238.8479,141.65
2025-01-20 12:30:00+09:00,238.8479,242.7513,238.3482,242.7513,8.33
2025-01-20 12:45:00+09:00,242.7513,242.7513,239.6644,241.0504,13.9
2025-01-20 13:00:00+09:00,241.0504,242.5001,240.3344,242.1794,10.71
2025-01-20 13:15:00+09:00,242.1794,242.1794,238.9274,239.4089,99.46
2025-01-20 13:30:00+09:00,239.4089,243.7878,239.4089,243.7878,66.45
2025-01-20 13:45:00+09:00,243.7878,246.5225,243.56,244.2728,39.09
2025-01-20 14:00:00+09:00,244.2728,248.04,244.1615,246.4902,40.68
2025-01-20 14:15:00+09:00,246.4902,247.2711,243.5739,243.8481,157.96
2025-01-20 14:30:00+09:00,243.8481,247.784,243.5292,247.784,22.22
2025-01-20 14:45:00+09:00,247.784,248.1379,245.0013,245.2647,38.9
2025-01-20 15:00:00+09:00,245.2647,246.3868,241.9414,242.8943,49.63
2025-01-20 15:15:00+09:00,242.8943,248.6559,242.8943,247.3646,21.57
2025-01-20 15:30:00+09:00,247.3646,252.0236,244.4846,252.0236,18.27
2025-01-20 15:45:00+09:00,252.0236,258.225,251.0264,258.1281,133.96
2025-01-20 16:00:00+09:00,258.1281,262.186,257.5318,262.186,137.17
2025-01-20 16:15:00+09:00,262.186,262.186,256.5423,258.9047,15.85
2025-01-20 16:30:00+09:00,258.9047,259.7702,255.8966,259.7702,104.28
2025-01-20 16:45:00+09:00,259.7702,263.38,259.7696,261.0027,35.71
2025-01-20 17:00:00+09:00,261.0027,263.6443,257.667,262.1804,265.14
2025-01-20 17:15:00+09:00,262.1804,264.7989,262.1804,262.971,151.95
2025-01-20 17:30:00+09:00,262.971,268.7524,262.9709,268.3912,95.67
2025-01-20 17:45:00+09:00,268.3912,268.5753,265.0078,268.5753,12.16
2025-01-20 18:00:00+09:00,268.5753,271.8876,268.5618,271.8351,41.31
2025-01-20 18:15:00+09:00,271.8351,271.8357,266.1358,266.8135,54.62
2025-01-20 18:30:00+09:00,266.8135,269.0,261.7373,262.5142,216.43
2025-01-20 18:45:00+09:00,262.5142,264.6714,262.0001,262.7097,213.14
2025-01-20 19:00:00+09:00,262.7097,264.0,261.303,262.7617,48.71
2025-01-20 19:15:00+09:00,262.7617,265.8772,261.8706,264.9555,80.06
2025-01-20 19:30:00+09:00,264.9555,264.9756,261.9404,263.0117,90.86
2025-01-20 19:45:00+09:00,263.0117,263.0117,258.9997,259.5175,57.9
2025-01-20 20:00:00+09:00,259.5175,260.6377,255.6729,258.2095,236.19
2025-01-20 20:15:00+09:00,258.2095,259.3495,257.1907,258.3875,39.17
2025-01-20 20:30:00+09:00,258.3875,260.3373,257.1609,258.1829,97.75
2025-01-20 20:45:00+09:00,258.1829,258.9649,256.444,258.8546,122.78
2025-01-20 21:00:00+09:00,258.8546,261.86,255.8167,257.44,571.68
2025-01-20 21:15:00+09:00,257.44,257.44,250.0,253.1288,257.51
2025-01-20 21:30:00+09:00,253.1288,255.3182,250.0,252.1829,68.61
2025-01-20 21:45:00+09:00,252.1829,254.9429,252.1722,253.5055,35.18
2025-01-20 22:00:00+09:00,253.5055,255.0031,251.7203,252.9485,73.35
2025-01-20 22:15:00+09:00,252.9485,255.5988,252.7605,252.7605,362.11
2025-01-20 22:30:00+09:00,252.7605,255.7544,250.8236,252.8999,163.52
2025-01-20 22:45:00+09:00,252.8999,257.6121,251.7396,255.8004,47.68
2025-01-20 23:00:00+09:00,255.8004,256.5808,254.6672,254.6773,23.91
2025-01-20 23:15:00+09:00,254.6773,257.3075,254.4978,255.9011,150.08
2025-01-20 23:30:00+09:00,255.9011,257.1071,254.578,255.1057,107.06
2025-01-20 23:45:00+09:00,255.1057,258.0331,255.1055,257.7617,20.32
2025-01-21 00:00:00+09:00,257.7617,257.7617,254.3261,257.4577,21.96
2025-01-21 00:15:00+09:00,257.4577,257.4577,252.8346,257.0266,119.16
2025-01-21 00:30:00+09:00,257.0266,259.4974,255.6335,259.4269,17.55
2025-01-21 00:45:00+09:00,259.4269,259.4269,254.8379,254.8782,115.83
2025-01-21 01:00:00+09:00,254.8782,256.1268,247.3,247.3003,212.04
2025-01-21 01:15:00+09:00,247.3003,250.6416,247.3003,250.6416,146.6
2025-01-21 01:30:00+09:00,250.6416,254.357,249.6977,254.0871,37.28
2025-01-21 01:45:00+09:00,254.0871,255.7623,253.7503,255.5136,45.69
2025-01-21 02:00:00+09:00,255.5136,255.5136,244.9587,249.6473,142.09
2025-01-21 02:15:00+09:00,249.6473,251.3414,245.4809,245.4809,132.67
2025-01-21 02:30:00+09:00,245.4809,247.1227,234.2434,235.6374,398.03
2025-01-21 02:45:00+09:00,235.6374,244.7549,235.6374,243.9423,789.46
2025-01-21 03:00:00+09:00,243.9423,245.5306,241.5369,245.2824,121.34
2025-01-21 03:15:00+09:00,245.2824,246.4814,244.0567,245.0921,8.16
2025-01-21 03:30:00+09:00,245.0921,249.1517,245.0912,248.6106,92.41
2025-01-21 03:45:00+09:00,248.6106,250.5545,247.2428,249.3501,131.21
2025-01-21 04:00:00+09:00,249.3501,249.3782,245.6889,247.1086,14.87
2025-01-21 04:15:00+09:00,247.1086,247.5782,245.3006,246.302,14.01
2025-01-21 04:30:00+09:00,246.302,246.4968,244.7933,245.5716,566.52
2025-01-21 04:45:00+09:00,245.5716,248.3251,245.5716,247.089,23.99
2025-01-21 05:00:00+09:00,247.089,247.8089,244.3949,246.6599,276.75
2025-01-21 05:15:00+09:00,246.6599,247.8507,245.505,247.2538,20.58
2025-01-21 05:30:00+09:00,247.2538,249.3524,246.0961,247.629,3.37
